date,count,industry
2010-02-01T08:00:00.000Z,2440,Construction
2000-01-01T08:00:00.000Z,734,Manufacturing
2000-02-01T08:00:00.000Z,694,Manufacturing
2000-03-01T08:00:00.000Z,739,Manufacturing
2000-04-01T08:00:00.000Z,736,Manufacturing
2000-05-01T07:00:00.000Z,685,Manufacturing
2000-06-01T07:00:00.000Z,621,Manufacturing
2000-07-01T07:00:00.000Z,708,Manufacturing
2000-08-01T07:00:00.000Z,685,Manufacturing
2000-09-01T07:00:00.000Z,667,Manufacturing
2000-10-01T07:00:00.000Z,693,Manufacturing
2000-11-01T08:00:00.000Z,672,Manufacturing
2000-12-01T08:00:00.000Z,653,Manufacturing
2001-01-01T08:00:00.000Z,911,Manufacturing
2001-02-01T08:00:00.000Z,902,Manufacturing
2001-03-01T08:00:00.000Z,954,Manufacturing
2001-04-01T08:00:00.000Z,855,Manufacturing
2001-05-01T07:00:00.000Z,903,Manufacturing
2001-06-01T07:00:00.000Z,956,Manufacturing
2001-07-01T07:00:00.000Z,1054,Manufacturing
2001-08-01T07:00:00.000Z,1023,Manufacturing
2001-09-01T07:00:00.000Z,996,Manufacturing
2001-10-01T07:00:00.000Z,1065,Manufacturing
2001-11-01T08:00:00.000Z,1108,Manufacturing
2001-12-01T08:00:00.000Z,1172,Manufacturing
2002-01-01T08:00:00.000Z,1377,Manufacturing
2002-02-01T08:00:00.000Z,1296,Manufacturing
2002-03-01T08:00:00.000Z,1367,Manufacturing
2002-04-01T08:00:00.000Z,1322,Manufacturing
2002-05-01T07:00:00.000Z,1194,Manufacturing
2002-06-01T07:00:00.000Z,1187,Manufacturing
2002-07-01T07:00:00.000Z,1185,Manufacturing
2002-08-01T07:00:00.000Z,1108,Manufacturing
2002-09-01T07:00:00.000Z,1076,Manufacturing
2002-10-01T07:00:00.000Z,1046,Manufacturing
2002-11-01T08:00:00.000Z,1115,Manufacturing
2002-12-01T08:00:00.000Z,1188,Manufacturing
2003-01-01T08:00:00.000Z,1302,Manufacturing
2003-02-01T08:00:00.000Z,1229,Manufacturing
2003-03-01T08:00:00.000Z,1222,Manufacturing
2003-04-01T08:00:00.000Z,1199,Manufacturing
2003-05-01T07:00:00.000Z,1150,Manufacturing
2003-06-01T07:00:00.000Z,1232,Manufacturing
2003-07-01T07:00:00.000Z,1193,Manufacturing
2003-08-01T07:00:00.000Z,1186,Manufacturing
2003-09-01T07:00:00.000Z,1175,Manufacturing
2003-10-01T07:00:00.000Z,1041,Manufacturing
2003-11-01T08:00:00.000Z,1034,Manufacturing
2003-12-01T08:00:00.000Z,1025,Manufacturing
2004-01-01T08:00:00.000Z,1110,Manufacturing
2004-02-01T08:00:00.000Z,1094,Manufacturing
2004-03-01T08:00:00.000Z,1083,Manufacturing
2004-04-01T08:00:00.000Z,1004,Manufacturing
2004-05-01T07:00:00.000Z,966,Manufacturing
2004-06-01T07:00:00.000Z,957,Manufacturing
2004-07-01T07:00:00.000Z,1019,Manufacturing
2004-08-01T07:00:00.000Z,840,Manufacturing
2004-09-01T07:00:00.000Z,852,Manufacturing
2004-10-01T07:00:00.000Z,884,Manufacturing
2004-11-01T08:00:00.000Z,905,Manufacturing
2004-12-01T08:00:00.000Z,872,Manufacturing
2005-01-01T08:00:00.000Z,889,Manufacturing
2005-02-01T08:00:00.000Z,889,Manufacturing
2005-03-01T08:00:00.000Z,879,Manufacturing
2005-04-01T08:00:00.000Z,793,Manufacturing
2005-05-01T07:00:00.000Z,743,Manufacturing
2005-06-01T07:00:00.000Z,743,Manufacturing
2005-07-01T07:00:00.000Z,883,Manufacturing
2005-08-01T07:00:00.000Z,767,Manufacturing
2005-09-01T07:00:00.000Z,775,Manufacturing
2005-10-01T07:00:00.000Z,800,Manufacturing
2005-11-01T08:00:00.000Z,823,Manufacturing
2005-12-01T08:00:00.000Z,757,Manufacturing
2006-01-01T08:00:00.000Z,778,Manufacturing
2006-02-01T08:00:00.000Z,821,Manufacturing
2006-03-01T08:00:00.000Z,701,Manufacturing
2006-04-01T08:00:00.000Z,745,Manufacturing
2006-05-01T07:00:00.000Z,680,Manufacturing
2006-06-01T07:00:00.000Z,635,Manufacturing
2006-07-01T07:00:00.000Z,736,Manufacturing
2006-08-01T07:00:00.000Z,680,Manufacturing
2006-09-01T07:00:00.000Z,632,Manufacturing
2006-10-01T07:00:00.000Z,618,Manufacturing
2006-11-01T08:00:00.000Z,702,Manufacturing
2006-12-01T08:00:00.000Z,660,Manufacturing
2007-01-01T08:00:00.000Z,752,Manufacturing
2007-02-01T08:00:00.000Z,774,Manufacturing
2007-03-01T08:00:00.000Z,742,Manufacturing
2007-04-01T07:00:00.000Z,749,Manufacturing
2007-05-01T07:00:00.000Z,651,Manufacturing
2007-06-01T07:00:00.000Z,653,Manufacturing
2007-07-01T07:00:00.000Z,621,Manufacturing
2007-08-01T07:00:00.000Z,596,Manufacturing
2007-09-01T07:00:00.000Z,673,Manufacturing
2007-10-01T07:00:00.000Z,729,Manufacturing
2007-11-01T07:00:00.000Z,762,Manufacturing
2007-12-01T08:00:00.000Z,772,Manufacturing
2008-01-01T08:00:00.000Z,837,Manufacturing
2008-02-01T08:00:00.000Z,820,Manufacturing
2008-03-01T08:00:00.000Z,831,Manufacturing
2008-04-01T07:00:00.000Z,796,Manufacturing
2008-05-01T07:00:00.000Z,879,Manufacturing
2008-06-01T07:00:00.000Z,862,Manufacturing
2008-07-01T07:00:00.000Z,908,Manufacturing
2008-08-01T07:00:00.000Z,960,Manufacturing
2008-09-01T07:00:00.000Z,984,Manufacturing
2008-10-01T07:00:00.000Z,1007,Manufacturing
2008-11-01T07:00:00.000Z,1144,Manufacturing
2008-12-01T08:00:00.000Z,1315,Manufacturing
2009-01-01T08:00:00.000Z,1711,Manufacturing
2009-02-01T08:00:00.000Z,1822,Manufacturing
2009-03-01T08:00:00.000Z,1912,Manufacturing
2009-04-01T07:00:00.000Z,1968,Manufacturing
2009-05-01T07:00:00.000Z,2010,Manufacturing
2009-06-01T07:00:00.000Z,2010,Manufacturing
2009-07-01T07:00:00.000Z,1988,Manufacturing
2009-08-01T07:00:00.000Z,1866,Manufacturing
2009-09-01T07:00:00.000Z,1876,Manufacturing
2009-10-01T07:00:00.000Z,1884,Manufacturing
2009-11-01T07:00:00.000Z,1882,Manufacturing
2009-12-01T08:00:00.000Z,1747,Manufacturing
2010-01-01T08:00:00.000Z,1918,Manufacturing
2010-02-01T08:00:00.000Z,1814,Manufacturing
2000-01-01T08:00:00.000Z,1000,Wholesale and Retail Trade
2000-02-01T08:00:00.000Z,1023,Wholesale and Retail Trade
2000-03-01T08:00:00.000Z,983,Wholesale and Retail Trade
2000-04-01T08:00:00.000Z,793,Wholesale and Retail Trade
2000-05-01T07:00:00.000Z,821,Wholesale and Retail Trade
2000-06-01T07:00:00.000Z,837,Wholesale and Retail Trade
2000-07-01T07:00:00.000Z,792,Wholesale and Retail Trade
2000-08-01T07:00:00.000Z,853,Wholesale and Retail Trade
2000-09-01T07:00:00.000Z,791,Wholesale and Retail Trade
2000-10-01T07:00:00.000Z,739,Wholesale and Retail Trade
2000-11-01T08:00:00.000Z,701,Wholesale and Retail Trade
2000-12-01T08:00:00.000Z,715,Wholesale and Retail Trade
2001-01-01T08:00:00.000Z,908,Wholesale and Retail Trade
2001-02-01T08:00:00.000Z,990,Wholesale and Retail Trade
2001-03-01T08:00:00.000Z,1037,Wholesale and Retail Trade
2001-04-01T08:00:00.000Z,820,Wholesale and Retail Trade
2001-05-01T07:00:00.000Z,875,Wholesale and Retail Trade
2001-06-01T07:00:00.000Z,955,Wholesale and Retail Trade
2001-07-01T07:00:00.000Z,833,Wholesale and Retail Trade
2001-08-01T07:00:00.000Z,928,Wholesale and Retail Trade
2001-09-01T07:00:00.000Z,936,Wholesale and Retail Trade
2001-10-01T07:00:00.000Z,941,Wholesale and Retail Trade
2001-11-01T08:00:00.000Z,1046,Wholesale and Retail Trade
