__time,terminal,flight,arrivals,departures
2007-06-30T23:00:00.000Z,Terminal 6,International,2312,8590
2007-06-30T23:00:00.000Z,Terminal 7,Domestic,265336,270341
2007-06-30T23:00:00.000Z,Terminal 7,International,30892,42581
2007-06-30T23:00:00.000Z,Terminal 8,Domestic,109320,110171
2007-06-30T23:00:00.000Z,Terminal 8,International,3404,3114
2007-06-30T23:00:00.000Z,Tom Bradley International Terminal,International,522280,407888
2007-07-31T23:00:00.000Z,Misc. Terminal,Domestic,2,0
2007-07-31T23:00:00.000Z,Misc. Terminal,International,6,0
2007-07-31T23:00:00.000Z,Terminal 1,Domestic,479868,499295
2007-07-31T23:00:00.000Z,Terminal 1,International,0,302
2007-07-31T23:00:00.000Z,Terminal 2,Domestic,113141,115134
2007-07-31T23:00:00.000Z,Terminal 2,International,179731,188184
2007-07-31T23:00:00.000Z,Terminal 3,Domestic,229337,231363
2007-07-31T23:00:00.000Z,Terminal 3,International,26190,67231
2007-07-31T23:00:00.000Z,Terminal 4,Domestic,449805,452962
2007-07-31T23:00:00.000Z,Terminal 4,International,61362,49619
2007-07-31T23:00:00.000Z,Terminal 5,Domestic,204656,211847
2007-07-31T23:00:00.000Z,Terminal 5,International,36689,46611
2007-07-31T23:00:00.000Z,Terminal 6,Domestic,258121,265679
2007-07-31T23:00:00.000Z,Terminal 6,International,1347,7335
2007-07-31T23:00:00.000Z,Terminal 7,Domestic,276768,285320
2007-07-31T23:00:00.000Z,Terminal 7,International,33240,40574
2007-07-31T23:00:00.000Z,Terminal 8,Domestic,107231,111180
2007-07-31T23:00:00.000Z,Terminal 8,International,3675,3718
2007-07-31T23:00:00.000Z,Tom Bradley International Terminal,International,510391,391634
2007-08-31T23:00:00.000Z,Imperial Terminal,Domestic,90,47
2007-08-31T23:00:00.000Z,Terminal 1,Domestic,380639,373368
2007-08-31T23:00:00.000Z,Terminal 1,International,0,68
2007-08-31T23:00:00.000Z,Terminal 2,Domestic,95208,94694
2007-08-31T23:00:00.000Z,Terminal 2,International,158981,170102
2007-08-31T23:00:00.000Z,Terminal 3,Domestic,162856,154801
2007-08-31T23:00:00.000Z,Terminal 3,International,16572,45666
2007-08-31T23:00:00.000Z,Terminal 4,Domestic,381062,378250
2007-08-31T23:00:00.000Z,Terminal 4,International,61755,45962
2007-08-31T23:00:00.000Z,Terminal 5,Domestic,195618,195075
2007-08-31T23:00:00.000Z,Terminal 5,International,24653,28901
2007-08-31T23:00:00.000Z,Terminal 6,Domestic,200410,189343
2007-08-31T23:00:00.000Z,Terminal 6,International,1193,3622
2007-08-31T23:00:00.000Z,Terminal 7,Domestic,212974,218958
